,adjective,type,url
169,gefühlt,attributive,https://www.lovelybooks.de/autor/M.-G.-Wheaton/Emily-Eternal-2330275001-w/rezension/2700353001/
170,anders,predicative,https://www.lovelybooks.de/autor/Elanor-Dymott/Bevor-sie-mich-liebte-1040741147-w/rezension/1045851964/
171,toll,attributive,https://www.lovelybooks.de/autor/Tanja-Wekwerth/Das-Leben-ist-ein-Seidenkleid-1441734731-w/rezension/1541555757/
172,schön,attributive,https://www.lovelybooks.de/autor/Stine--Mari-Moen-/Träume-des-Schicksals-Ein-humorvoller-Liebesroman-1474779523-w/rezension/1482718278/
173,ganz,attributive,https://www.lovelybooks.de/autor/Stine--Mari-Moen-/Träume-des-Schicksals-Ein-humorvoller-Liebesroman-1474779523-w/rezension/1482718278/
174,dieser,attributive,https://www.lovelybooks.de/autor/Sina-Land/Residenz-Seelenheil-3015227105-w/rezension/3224805102/
175,fantasy,attributive,https://www.lovelybooks.de/autor/Eliza-Snow/Keneria-Die-zwei-Welten-Band-1-1564838745-w/rezension/1743393556/
176,erster,attributive,https://www.lovelybooks.de/autor/Eliza-Snow/Keneria-Die-zwei-Welten-Band-1-1564838745-w/rezension/1743393556/
177,gut,predicative,https://www.lovelybooks.de/autor/Stephenie-Meyer/Biss-zum-Morgengrauen-Bella-und-Edward-1--40887183-w/rezension/1166800910/
178,spannend,predicative,https://www.lovelybooks.de/autor/Stephenie-Meyer/Biss-zum-Morgengrauen-Bella-und-Edward-1--40887183-w/rezension/1166800910/
179,nächster,attributive,https://www.lovelybooks.de/autor/Marco-Findeisen/Das-Spiel-der-Türme-Die-Türme-von-Taladur-3-1038484924-w/rezension/1038610770/
180,anderer,attributive,https://www.lovelybooks.de/autor/Marco-Findeisen/Das-Spiel-der-Türme-Die-Türme-von-Taladur-3-1038484924-w/rezension/1038610770/
181,ganz,attributive,https://www.lovelybooks.de/autor/Miri-Smith/Die-Liebe-kommt-in-Wollsocken-Gekürzt--10515471065-w/rezension/11086087568/
182,toll,attributive,https://www.lovelybooks.de/autor/Isabel-Abedi/Whisper-145197310-w/rezension/964314879/
183,toll,attributive,https://www.lovelybooks.de/autor/Katja-Brandis/Woodwalkers-Friends-Katzige-Gefährten-2570012036-w/rezension/3011459891/
184,ungelesen,attributive,https://www.lovelybooks.de/autor/Melissa-Marr/Gegen-das-Sommerlicht-46396751-w/rezension/1053119763/
185,schwäch,attributive,https://www.lovelybooks.de/autor/Brittainy-C.-Cherry/Wie-die-Luft-zum-Atmen-1231960660-w/rezension/18605270077/
186,toll,attributive,https://www.lovelybooks.de/autor/Johanna-Danninger/Blue-Sky-Black-Ohne-Dunkelheit-keine-Sterne-2572374321-w/rezension/2698656113/
187,weit,attributive,https://www.lovelybooks.de/autor/Julia-Lalena-Stöcken/Reiter-der-Steppe-Kupferblut-Saga-1--2798587834-w/rezension/2812063611/
188,empfehlenswert,attributive,https://www.lovelybooks.de/autor/Judith-Allert/So-sind-Familien-3485748498-w/rezension/5836398379/
189,gesamt,attributive,https://www.lovelybooks.de/autor/Sharon-Gosling/Lighthouse-Bookshop-7292284404-w/rezension/11172290689/
190,ganz,attributive,https://www.lovelybooks.de/autor/Natasha-Bell/Alexandra-1812084128-w/rezension/2034440833/
191,toll,predicative,https://www.lovelybooks.de/autor/Kass-Morgan/Die-100-1165426194-w/rezension/1653634637/
192,simpel,predicative,https://www.lovelybooks.de/autor/E.-L.-James/Shades-of-Grey-Geheimes-Verlangen-941423137-w/rezension/979249066/
